編號,車位類別,車位價格,車位面積平方公尺
RPPOMLRJPHLFFCD28CA,坡道平面,1100000,40.92
RPPOMLRJPHLFFCD28CA,坡道平面,1100000,40.92
RPQOMLRJPHLFFCD38CA,坡道平面,1200000,42.99
RPQOMLRJPHLFFCD38CA,坡道平面,1200000,42.99
SPQOMLRJPHLFFCD48CA,坡道平面,1150000,42.99
SPQOMLRJPHLFFCD48CA,坡道平面,1150000,42.99
RPQNMLSJPHLFFCD38CA,坡道平面,1200000,42.99
RPQNMLSJPHLFFCD38CA,坡道平面,1200000,42.99
RPRNMLSJPHLFFCD48CA,坡道平面,1050000,42.99
RPSNMLSJPHLFFCD58CA,坡道平面,950000,42.99
RPTNMLTJPHLFFCD78CA,坡道平面,1150000,42.99
RPTNMLTJPHLFFCD78CA,坡道平面,1150000,42.99
RPUNMLTJPHLFFCD88CA,坡道平面,950000,42.99
RPSNMLRLOHLFFCD58CA,坡道平面,0,
RPPNMLSLOHLFFCD38CA,坡道平面,0,
RPOOMLRLOHLFFAR86CA,坡道平面,330000,
RPWNMLTKPHLFFER18CA,坡道平面,0,17.72
RPSOMLSLOHLFFFR87CA,坡道平面,0,
RPRNMLNKPHLFFHR37CA,坡道平面,0,14.98
RPSNMLOJPHLFFHR57DA,坡道平面,0,
RPXNMLRLOHLFFCD56DA,坡道平面,0,
RPTNMLOKPHLFFCD38CA,坡道平面,0,24.86
RPTNMLOKPHLFFCD38CA,坡道平面,0,24.86
RPUNMLLKPHLFFCD18CA,坡道平面,0,
RPUNMLPKPHLFFCD58CA,坡道平面,0,
RPUNMLPKPHLFFCD58CA,坡道平面,0,
RPVNMLTJPHLFFCD98CA,坡道平面,900000,40.92
RPRNMLKKPHLFFCD77CA,坡道平面,1100000,40.92
RPSNMLKKPHLFFCD87CA,坡道平面,1050000,42.99
RPUNMLKKPHLFFCD08CA,坡道平面,1150000,42.99
RPOPMLPJPHLFFCD08CA,坡道機械,0,
RPSNMLPJPHLFFCD28CA,坡道機械,0,
RPSNMLPJPHLFFCD28CA,坡道機械,0,
RPSOMLLJPHLFFCD97CA,升降機械,0,
RPPNMLMJPHLFFAD47CA,坡道機械,0,
RPQNMLLJPHLFFAD47CA,坡道平面,0,27.73
RPRNMLLJPHLFFAD57CA,坡道平面,0,27.73
RPRRMLLJPHLFFAD97CA,坡道平面,0,32.55
RPOOMLQJPHLFFAD87CA,坡道平面,500000,39.31
RPXNMLSLOHLFFER18CA,坡道機械,0,
RPXNMLOJPHLFFAD58DA,坡道平面,0,
RPUNMLLJPHLFFFR17CA,坡道平面,0,
RPUNMLQLPHLFFER77CA,坡道平面,0,17.72
RPVNMLQLPHLFFER87CA,坡道平面,0,17.72
RPVNMLQLPHLFFER87CA,坡道平面,0,17.72
RPXNMLQLPHLFFER08CA,坡道平面,0,17.72
RPWNMLKMOHLFFCD38CA,坡道平面,0,
RPWNMLKMOHLFFCD38CA,坡道平面,0,
RPTNMLLJPHLFFCD97CA,坡道平面,0,
RPWOMLPJPHLFFAD58CA,坡道平面,0,
RPPNMLSJPHLFFAD08CA,坡道平面,0,
RPTRMLKMOHLFFAD28CA,坡道機械,400000,
RPPPMLTKPHLFFAD48CA,坡道平面,500000,
RPRNMLQKPHLFFCD38CA,坡道平面,900000,40.92
RPSNMLQKPHLFFCD48CA,坡道平面,950000,40.92
RPSNMLTKPHLFFCD78CA,坡道機械,0,
RPWNMLRLPHLFFER08CA,坡道平面,0,17.72
RPWNMLRLPHLFFER08CA,坡道平面,0,17.72
RPSNMLMKPHLFFHR37CA,坡道平面,0,
RPTNMLRLPHLFFCD88DA,一樓平面,0,
