鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
苓雅區,房地(土地+建物),高雄市苓雅區光華一路1~30號,8.7,商,,,1050526,土地1建物1車位0,十一層,12,辦公商業大樓,,鋼筋混凝土造,0791130,176.63,0,0,0,無,有,無,18000,102,,0.0,0,,RPQNMLSKOHLFFBE58CC
三民區,房地(土地+建物),高雄市三民區澄清路421~450號,94.35,商,,,1050617,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0681122,264.47,5,2,4,有,無,無,36000,136,,0.0,0,,RPPNMLSKOHLFFDE68CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1050616,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1800,,坡道平面,13.32,1800,,RPPNMLTKOHLFFBE58CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1050617,土地0建物1車位0,四層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,166.02,3,2,2,有,有,有,16000,96,,0.0,0,,RPQNMLTKOHLFFBE68CC
苓雅區,建物,高雄市苓雅區四維三路241~270號,0.0,商,,,1050616,土地0建物1車位0,八層,12,辦公商業大樓,,鋼筋混凝土造,0781109,76.07,0,0,0,無,有,無,13000,171,,0.0,0,,RPUNMLKLOHLFFBE28CC
新興區,建物,高雄市新興區中山一路91~120號,0.0,商,,,1050614,土地0建物1車位0,八層,10,辦公商業大樓,,鋼筋混凝土造,0651124,92.6,0,0,0,無,有,無,13200,143,,0.0,0,,RPVNMLKLOHLFFBE38CC
新興區,建物,高雄市新興區中山一路91~120號,0.0,商,,,1050620,土地0建物1車位0,九層,10,辦公商業大樓,,鋼筋混凝土造,0651124,75.54,0,0,0,無,有,無,6500,86,,0.0,0,,RPQOMLKLOHLFFBE97CC
前鎮區,建物,高雄市前鎮區中山二路91~120號,0.0,住,,,1050608,土地0建物1車位1,七層,24,辦公商業大樓,住商用,鋼筋混凝土造,0820730,170.42000000000002,0,0,0,無,有,無,19999,117,坡道機械,0.0,0,租金含1個坡道機械車位,RPUNMLKLOHLFFCE38CC
三民區,建物,高雄市三民區建國二路121~150號,0.0,商,,,1050614,土地0建物1車位0,全,3,透天厝,住商用,見使用執照,0470917,68.04,0,0,0,無,無,無,33000,485,,0.0,0,本租賃標的共同出入,RPPOMLKLOHLFFDE08CC
三民區,房地(土地+建物),高雄市三民區建工路331~360號,108.0,商,,,1050529,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0960607,45.08,0,0,0,無,無,有,20000,444,,0.0,0,,RPPPMLKLOHLFFDE18CC
左營區,建物,高雄市左營區安吉街421~450號,0.0,,,,1050501,土地0建物1車位0,一層,17,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,0880315,248.44,0,0,0,無,有,無,90000,362,,0.0,0,105.07.15-107.07.14租金每月90000元整107.07.14-110.07.14租金每月92700元整,RPSOMLKLOHLFFEE48CC
楠梓區,土地,右昌段六小段301~330地號,57.0,住,,,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,9000,158,,0.0,0,,RPOQMLKLOHLFFEE28CC
左營區,房地(土地+建物),高雄市左營區新庄仔路241~270號,92.0,住,,,1050601,土地1建物1車位0,全,2,透天厝,,加強磚造,0650319,111.2,0,0,0,無,無,無,50000,450,,0.0,0,含增建或未登記建物。,RPVTMLKLOHLFFEE66CC
左營區,房地(土地+建物),高雄市左營區自由四路151~180號,17.62,住,,,1050601,土地1建物1車位0,一層,10,店面(店鋪),住商用,鋼筋混凝土造,0831224,116.8,3,2,3,有,無,無,22000,188,,0.0,0,,RPPUMLKLOHLFFEE78CC
鳳山區,房地(土地+建物),高雄市鳳山區光遠路61~90號,90.0,住,,,1050618,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0640220,183.33,0,0,0,無,無,無,20000,109,,0.0,0,,RPOOMLKLOHLFFGE28CC
鳳山區,房地(土地+建物),高雄市鳳山區大明路1~30號,25.0,住,,,1050520,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,加強磚造,0660317,82.39,3,2,2,有,無,有,6200,75,,0.0,0,,RPUOMLKLOHLFFGE88CC
鳳山區,房地(土地+建物),高雄市鳳山區海洋二路102巷1~30號,56.0,住,,,1050603,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0630703,77.94,4,2,2,有,無,無,12000,154,,0.0,0,,RPQNMLLLOHLFFGE48CC
鳳山區,房地(土地+建物),高雄市鳳山區誠德街31~60號,58.0,商,,,1050602,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0760923,103.22,3,2,2,有,無,無,13500,131,,0.0,0,,RPQPMLLLOHLFFGE68CC
左營區,房地(土地+建物),高雄市左營區新下里華夏路211~240號,101.0,住,,,1050601,土地1建物1車位0,見其它登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0830825,366.43,5,1,4,有,無,無,50000,136,,0.0,0,"105/07/05-105/09/04為免租裝潢期,故租賃期間為105/09/05-111/09/04",RPUNMLLLOHLFFEE78DC
左營區,房地(土地+建物)+車位,高雄市左營區孟子路31~60號,22.12,住,,,1050601,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040529,157.45999999999998,3,2,2,有,有,無,24000,152,坡道平面,18.64,0,,RPTOMLLLOHLFFEE68CC
三民區,建物,高雄市三民區建工路814巷2弄1~30號,31.78,,,,1050615,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740215,94.06,3,1,2,有,無,有,11500,122,,0.0,0,,RPSOMLLLOHLFFDE48CC
