鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中西區,房地(土地+建物),臺南市中西區五妃街181~210號,0.0,住,,,1050506,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690930,107.98,3,2,2,有,無,有,10000,93,,0.0,0,,RPWOMLKKNHLFFAD18CC
北區,房地(土地+建物),臺南市北區長勝路31~60號,0.0,住,,,1050507,土地1建物1車位0,見其他登記事項,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0920916,125.87,1,2,3,有,無,無,15000,119,,0.0,0,,RPOPMLKKNHLFFAD47CC
北區,房地(土地+建物),臺南市北區長勝路31~60號,0.0,住,,,1050507,土地1建物1車位0,見其他登記事項,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0920916,125.87,1,2,3,有,無,無,15000,119,,0.0,0,,RPPPMLKKNHLFFAD57CC
東區,建物,臺南市東區崇德三街91~120號,0.0,住,,,1050416,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0811231,91.1,3,2,1,有,有,有,15000,165,,0.0,0,,RPSNMLLKNHLFFCD97CC
東區,建物,臺南市東區東成200巷31~60號,0.0,住,,,1050420,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0830202,119.12,3,1,2,有,有,無,11000,92,,0.0,0,,RPTNMLLKNHLFFCD08CC
東區,建物,臺南市東區怡東路150巷1~30號,0.0,住,,,1050422,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0881116,133.25,5,1,3,有,有,有,19000,143,,0.0,0,,RPUNMLLKNHLFFCD18CC
東區,建物,臺南市東區中華東路一段181~210號,0.0,商,,,1050430,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土構造,0750912,94.42,0,0,1,有,無,無,32000,339,,0.0,0,,RPXNMLLKNHLFFCD48CC
東區,建物,臺南市東區怡東路72巷1~30號,0.0,住,,,1050501,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0721216,111.23,3,1,2,有,無,有,10000,90,,0.0,0,,RPOOMLLKNHLFFCD67CC
永康區,土地,富強段751~780地號,0.0,商,,,1050420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,13000,0,,0.0,0,,RPSNMLLKNHLFFHR27CC
永康區,建物,臺南市永康區二王路1~30號,0.0,住,,,1050510,土地0建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831006,93.36,2,1,1,有,有,無,12500,134,坡道平面,30.7,0,,RPOOMLLKNHLFFHR96CC
