鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
西屯區,房地(土地+建物)+車位,臺中市西屯區逢明街29巷61~90號,18.53,住,,,1050408,土地1建物1車位1,八層,12,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1041021,117.44,1,1,1,有,有,有,22000,187,坡道平面,33.79,0,租金含管理費。,RPSPMLNJNHLFFCB08CC
西屯區,房地(土地+建物)+車位,臺中市西屯區青海路二段301~330號,28.76,住,,,1050409,土地1建物1車位2,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990924,329.21000000000004,4,2,3,有,有,有,60000,182,坡道平面,27.12,0,租金含管理費,RPVPMLNJNHLFFCB38CC
西屯區,房地(土地+建物)+車位,臺中市西屯區長安路二段131巷91~120號,17.63,住,,,1050410,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021105,120.36,2,2,2,有,有,有,23000,191,坡道平面,33.91,0,租金含管理費及一個機車位。,RPOQMLNJNHLFFCB77CC
北屯區,房地(土地+建物)+車位,臺中市北屯區安順東九街1~30號,23.6,住,,,1050420,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821206,134.76,3,2,2,有,無,有,17000,126,坡道平面,0.0,0,租金內含管理費2161元/月、平面車位B1-3,RPUPNLOJNHLFFBB38CC
西區,土地,土庫段61~90地號,666.0,商,,,1050503,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,520000,781,,0.0,0,土地含有為保存登記的建物,RPVPMLOJNHLFFAB28CC
清水區,房地(土地+建物),臺中市清水區南華路391~420號,238.0,住,,,1050414,土地3建物1車位0,全,5,透天厝,住家用,見其他登記事項,0980820,484.41,6,3,8,有,無,無,35000,72,,0.0,0,,RPSNMLOJNHLFFCL98CC
大里區,房地(土地+建物),臺中市大里區大衛路61~90號,100.35,住,,,1050504,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0770617,219.16,5,3,3,有,無,有,17000,78,,0.0,0,,RPQOMLOJNHLFFGL66CC
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段181~210號,15.82,住,,,1050406,土地1建物1車位1,四層,13,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0840628,172.12,0,0,0,無,有,無,21000,122,坡道平面,0.0,0,,RPTPMLPJNHLFFAB18CC
北屯區,房地(土地+建物),臺中市北屯區興安路二段142巷31~60號,69.0,住,,,1050503,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0830617,252.52,5,2,5,有,無,無,33000,131,,0.0,0,一樓營業使用，二樓以上住家使用,RPXNMLPJNHLFFBB48CC
北屯區,房地(土地+建物),臺中市北屯區松竹北路151~180號,26.6,住,,,1050428,土地1建物1車位0,一層,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830207,199.59,2,3,2,有,無,無,19500,98,,0.0,0,租金含管理費1370元/月,RPPOMLPJNHLFFBB77CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺中市西屯區何安里文心路三段1~30號,8.48,商,,,1050502,土地1建物1車位1,二十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,86.54,2,1,1,有,有,有,24080,278,坡道平面,35.9,0,,RPVNMLPJNHLFFCB38CC
西屯區,房地(土地+建物)+車位,臺中市西屯區朝富路211~240號,22.84,其他,,,1050408,土地1建物1車位2,九層,34,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,370.28,0,0,0,無,有,無,85500,231,坡道平面,0.0,7000,,RPSOMLPJNHLFFCB18CC
西屯區,房地(土地+建物)+車位,臺中市西屯區朝富路211~240號,28.86,其他,,,1050411,土地1建物1車位2,十八層,34,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,482.84000000000003,0,0,0,無,有,無,123840,256,坡道平面,0.0,7000,,RPTOMLPJNHLFFCB28CC
西屯區,建物,臺中市西屯區文心路二段181~210號,0.0,其他,,,1050412,土地0建物1車位0,十八層,23,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0990930,231.2,0,0,0,無,有,無,62946,272,,0.0,0,,RPVOMLPJNHLFFCB48CC
西屯區,房地(土地+建物),臺中市西屯區長安路二段61~90號,6.84,住,,,1050418,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730531,16.0,1,1,1,有,無,有,4500,281,,0.0,0,,RPQNMLQJNHLFFCB97CC
西屯區,房地(土地+建物),臺中市西屯區長安路二段61~90號,6.84,住,,,1050419,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730531,16.0,1,1,1,有,無,有,5000,313,,0.0,0,,RPSNMLQJNHLFFCB18CC
西屯區,房地(土地+建物),臺中市西屯區長安路二段61~90號,6.84,住,,,1050429,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730531,16.0,1,1,1,有,無,有,5500,344,,0.0,0,公寓隔套房,RPUNMLQJNHLFFCB38CC
西屯區,房地(土地+建物),臺中市西屯區長安路二段61~90號,6.84,住,,,1050429,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730531,16.0,1,1,1,有,無,有,4000,250,,0.0,0,公寓隔套房,RPWNMLQJNHLFFCB58CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,5.51,商,,,1050418,土地1建物1車位0,十六層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,61.559999999999995,0,0,0,無,有,有,15500,252,,0.0,0,,RPWOMLQJNHLFFCB68CC
西屯區,車位,臺中市西屯區文心路三段1~30號,0.0,,,,1050418,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,有,2500,,坡道平面,0.0,2500,,RPXOMLQJNHLFFCB78CC
西屯區,車位,臺中市西屯區文心路三段1~30號,0.0,,,,1050412,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,有,2500,,坡道平面,0.0,2500,,RPOPMLQJNHLFFCB97CC
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~30號,7.04,商,,,1050423,土地1建物1車位0,二十二層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,106.38,0,0,0,無,有,有,19000,179,坡道平面,0.0,0,含車位,RPWPMLQJNHLFFCB78CC
西屯區,建物,臺中市西屯區成都路211~240號,0.0,住,,,1050421,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0810128,111.53999999999999,0,2,1,有,有,有,16000,143,,0.0,0,,RPXPMLQJNHLFFCB88CC
西屯區,房地(土地+建物)+車位,臺中市西屯區大墩十九街181~210號,318.0,商,,,1050505,土地1建物1車位3,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781107,230.69,6,3,3,有,無,有,40000,173,坡道平面,0.0,0,,RPQSMLQJNHLFFCB48CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,7.32,商,,,1050429,土地2建物1車位0,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,84.16,1,1,1,有,有,有,16000,190,,0.0,0,,RPTNMLQJNHLFFBB18CC
北區,房地(土地+建物)+車位,臺中市北區進化北路301~330號,6.29,商,,,1050501,土地2建物1車位1,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,85.19,1,1,1,有,有,有,18000,211,坡道機械,0.0,0,,RPUNMLQJNHLFFBB28CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,6.0,商,,,1050430,土地2建物1車位0,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,66.83,1,1,1,有,有,有,14000,209,,0.0,0,,RPVNMLQJNHLFFBB38CC
