鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中正區,房地(土地+建物),臺北市中正區新生南路一段1~30號,8.39,其他,,,1050501,土地1建物1車位0,一層,14,辦公商業大樓,商業用,鋼筋混凝土造,0741210,61.62,0,0,0,無,無,無,85000,1379,,0.0,0,,RPOOMLNJNHLFFBA37CC
萬華區,建物,臺北市萬華區青年路121~150號,0.0,住,,,1050408,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640403,31.6,1,1,1,有,有,有,8000,253,,0.0,0,,RPQOMLNJNHLFFBA57CC
大安區,房地(土地+建物),臺北市大安區敦化南路一段161巷69弄1~30號,71.63,住,,,1050414,土地1建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0751220,273.56,0,0,3,有,無,無,230000,841,,0.0,0,,RPSNMLNJNHLFFFA08CC
大安區,建物,臺北市大安區仁愛路四段345巷15弄1~30號,0.0,住,,,1050428,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.53,0,1,2,有,無,無,45000,345,,0.0,0,,RPTNMLNJNHLFFFA18CC
大安區,建物,臺北市大安區四維路1~30號,0.0,其他,,,1050429,土地0建物1車位0,一層,14,店面(店鋪),住家用,鋼筋混凝土造,,100.22,4,1,1,有,有,無,82000,818,,0.0,0,,RPUNMLNJNHLFFFA28CC
大安區,房地(土地+建物),臺北市大安區和平東路二段91~120號,8.17,商,,,1050428,土地1建物1車位0,四層,12,辦公商業大樓,商業用,鋼筋混凝土造,0730616,104.34,3,2,2,有,有,無,30000,288,,0.0,0,,RPVNMLNJNHLFFFA38CC
大安區,建物,臺北市大安區忠孝東路四段181巷40弄1~30號,496.0,住,,,1050503,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0741015,122.29,0,0,0,無,無,無,160000,1308,,0.0,0,,RPWNMLNJNHLFFFA48CC
信義區,建物,臺北市信義區臺北市信義區松仁路61~90號,0.0,其他,,,1050425,土地0建物1車位0,十八層,18,辦公商業大樓,住家用,見使用執照,0880119,405.81,0,0,0,無,有,無,338449,834,,0.0,0,,RPPNMLNJNHLFFDA57CC
松山區,建物,臺北市松山區南京東路四段1~30號,0.0,商,,,1050418,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971205,55.88,2,1,1,有,有,有,28500,510,,0.0,0,,RPVNMLNJNHLFFDA18CC
松山區,建物,臺北市松山區光復北路60巷1~30號,0.0,住,,,1050414,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630614,96.83,1,1,1,有,無,無,35000,361,,0.0,0,,RPWNMLNJNHLFFDA28CC
中山區,建物,臺北市中山區松江路271~300號,0.0,商,,,1050421,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0590131,245.09,2,2,1,有,有,有,38500,157,,0.0,0,,RPQNMLNJNHLFFCA57CC
內湖區,建物,臺北市內湖區民權東路六段123巷34弄1~30號,0.0,住,,,1050416,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040724,190.57,3,2,2,有,有,有,50000,262,坡道平面,0.0,0,車位樓層B2：23號，管理費合計：6264元/月。(房：5764元/月+車位：500元/月),RPXNMLNJNHLFFCA28CC
中山區,建物,臺北市中山區民生東路二段61~90號,0.0,商,,,1050417,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690314,60.34,2,1,1,有,有,有,25000,414,,0.0,0,,RPOOMLNJNHLFFCA47CC
內湖區,建物,臺北市內湖區康寧路一段211~240號,0.0,住,,,1050422,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681018,66.12,2,1,2,有,無,有,19000,287,,0.0,0,,RPQNMLOJNHLFFCA67CC
內湖區,建物,臺北市內湖區新湖一路121~150號,0.0,工,,,1050503,土地0建物1車位2,六層,7,廠辦,見其他登記事項,鋼筋混凝土造,0980623,280.57,0,0,0,無,有,無,82000,292,坡道平面,0.0,0,,RPSNMLOJNHLFFCA87CC
中山區,建物,臺北市中山區長春路151~180號,0.0,商,,,1050331,土地0建物1車位0,四層,12,辦公商業大樓,商業用,鋼筋混凝土造,0860925,928.78,0,0,0,無,無,有,379296,408,,0.0,0,辦公室,RPQOMLOJNHLFFCA77CC
中山區,建物,臺北市中山區民權西路1~30號,0.0,商,,,1050429,土地0建物1車位0,一層,10,店面(店鋪),見使用執照,鋼筋混凝土造,0680915,108.7,0,0,0,無,有,無,157500,1449,,0.0,0,本案標的只承租部份範圍,面積為108.7平方公尺,RPSOMLOJNHLFFCA97CC
中山區,建物,臺北市中山區民權東路二段121~150號,0.0,商,,,1050418,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710624,59.57,2,1,1,有,有,有,32000,537,,0.0,0,,RPTOMLOJNHLFFCA08CC
