鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物),臺北市文山區景興路181~210號,3.71,商,,,1050427,土地1建物1車位0,九層,二十四層,套房(1房1廳1衛),商業用,見使用執照,0850104,45.32,1,1,1,有,有,5200000,114740,,0.0,0,,RPSOMLRJOHLFFAA97CA
文山區,房地(土地+建物),臺北市文山區仙岩路16巷31~60號,44.13,住,,,1050429,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821221,114.91000000000001,3,2,2,有,無,13200000,114873,,0.0,0,,RPPNMLPKOHLFFAA47CA
萬華區,房地(土地+建物)+車位,臺北市萬華區青年路152巷1~30號,40.52,住,,,1050505,土地4建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970103,189.3,3,2,2,有,有,26000000,137348,坡道平面,0.0,0,,RPSOMLMJOHLFFBA57CA
中正區,車位,臺北市中正區忠孝東路二段1~30號,1.74,商,,,1050408,土地0建物0車位1,地下一層,十九層,其他,停車空間,鋼骨鋼筋混凝土造,0940825,37.66,0,0,0,有,有,1000000,,坡道平面,0.0,1000000,受債權債務影響或債務抵償之交易。,RPRNMLOJOHLFFBA57CA
大同區,土地,圓環段三小段691~720地號,1.89,商,,,1050519,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,529101,,0.0,0,(包含)公共設施保留地之交易。,RPVNMLQJOHLFFBA18CA
萬華區,房地(土地+建物)+車位,臺北市萬華區萬大路344巷31~60號,20.51,商,,,1050506,土地1建物1車位0,二十層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040206,204.37,3,2,2,有,有,33200000,162450,坡道平面,38.76,0,,RPQNMLNJOHLFFBA37CA
大同區,房地(土地+建物),臺北市大同區五原路1~30號,3.76,商,,,1050425,土地1建物1車位0,五層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0981216,39.43,1,1,1,有,有,8980000,227745,,0.0,0,,RPPOMLNKOHLFFBA47CA
萬華區,房地(土地+建物),臺北市萬華區康定路241~270號,5.59,商,,,1050429,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0760912,38.79,3,1,1,有,有,2224492,57347,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXNMLRLOHLFFBA68CA
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段151~180號,20.54,住,,,1050328,土地2建物2車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030829,169.9,3,2,2,有,有,31200000,183637,坡道機械,0.0,900000,,RPSOMLTLOHLFFBA48CA
中山區,房地(土地+建物),臺北市中山區北安路631~660號,29.86,住,,,1050321,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651110,84.3,4,2,1,有,無,11600000,137604,,0.0,0,,RPVQMLLJOHLFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區陽光街92巷1~30號,29.59,住,,,1050411,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720725,96.43,2,2,1,有,無,16300000,169035,,0.0,0,含增建,RPWQMLLJOHLFFCA18CA
中山區,房地(土地+建物),臺北市中山區新生北路二段60巷31~60號,11.87,商,,,1050516,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860628,59.06,2,2,1,有,有,11600000,196410,,0.0,0,,RPQPMLNJOHLFFCA67CA
