編號,車位類別,車位價格,車位面積平方公尺
RPXNMLRLOHLFFAB68CA,坡道平面,0,23.33
RPOOMLRLOHLFFAB87CA,坡道機械,0,16.21
RPPOMLRLOHLFFAB97CA,坡道平面,1000000,23.33
RPQOMLRLOHLFFAB08CA,坡道平面,1150000,23.33
RPROMLRLOHLFFAB18CA,坡道機械,0,16.21
RPSOMLRLOHLFFAB28CA,坡道平面,0,32.41
RPTOMLRLOHLFFAB38CA,坡道機械,0,16.21
RPTOMLRLOHLFFAB38CA,坡道機械,0,16.21
RPUOMLRLOHLFFAB48CA,坡道機械,0,16.21
SPUOMLRLOHLFFAB58CA,坡道機械,0,16.21
RPVOMLRLOHLFFAB58CA,坡道機械,0,16.21
RPXOMLRLOHLFFAB78CA,坡道平面,0,32.41
RPWNMLKLOHLFFAB87CA,坡道平面,0,
RPROMLLLOHLFFAB57CA,坡道機械,0,16.21
RPSOMLLLOHLFFAB67CA,坡道機械,0,16.21
RPTOMLLLOHLFFAB77CA,坡道機械,0,16.21
RPUOMLLLOHLFFAB87CA,坡道平面,0,32.41
RPVOMLLLOHLFFAB97CA,坡道機械,0,16.21
RPOOMLLLOHLFFAB27CA,坡道機械,0,16.21
RPOOMLLLOHLFFAB27CA,坡道機械,0,16.21
RPXOMLLLOHLFFAB18CA,坡道機械,0,16.21
RPQOMLMLOHLFFAB57CA,坡道平面,0,32.41
RPROMLMLOHLFFAB67CA,坡道機械,0,16.21
RPSOMLMLOHLFFAB77CA,坡道機械,0,16.21
RPTOMLMLOHLFFAB87CA,坡道機械,0,16.21
RPUNMLNLOHLFFAB97CA,坡道平面,0,
RPOOMLOLOHLFFAB57CA,坡道機械,0,16.21
RPTOMLOLOHLFFAB08CA,坡道平面,0,32.41
RPVOMLOLOHLFFAB28CA,坡道平面,0,32.41
RPWOMLOLOHLFFAB38CA,坡道機械,0,16.21
RPPPMLOLOHLFFAB77CA,坡道平面,0,32.41
RPRPMLOLOHLFFAB97CA,坡道機械,0,16.21
RPSPMLOLOHLFFAB08CA,坡道平面,0,32.41
RPUPMLOLOHLFFAB28CA,坡道機械,0,16.21
RPWPMLOLOHLFFAB48CA,坡道機械,0,16.21
RPWPMLOLOHLFFAB48CA,坡道機械,0,16.21
RPXPMLOLOHLFFAB58CA,坡道平面,0,32.41
RPOQMLOLOHLFFAB77CA,坡道平面,0,32.41
RPSQMLOLOHLFFAB18CA,坡道機械,0,16.21
RPVNMLQKOHLFFAB28CA,坡道機械,0,
RPSNMLTJOHLFFAB18CA,坡道機械,0,
RPSPMLNJOHLFFAB77CA,升降平面,0,
RPTNMLQJOHLFFAB97CA,坡道平面,0,25.14
RPSNMLOJOHLFFAB67CA,坡道平面,0,
RPTOMLOJOHLFFAB87CA,坡道平面,0,
RPXOMLNJOHLFFAB18CA,坡道平面,0,33.09
RPUOMLRKOHLFFAB38CA,坡道機械,0,9.41
RPTOMLPKOHLFFAB08CA,坡道平面,700000,32.57
SPTOMLPKOHLFFAB18CA,坡道平面,1000000,46.94
TPTOMLPKOHLFFAB28CA,坡道平面,680000,29.69
RPVOMLPKOHLFFAB28CA,坡道平面,0,69.44
SPVOMLPKOHLFFAB38CA,坡道平面,0,34.21
TPVOMLPKOHLFFAB48CA,坡道平面,0,54.34
RPUOMLNJOHLFFBB97CA,坡道平面,0,
RPRPMLQJOHLFFBB08CA,坡道平面,0,
RPPRMLQJOHLFFBB08CA,坡道平面,0,24.76
RPPRMLQJOHLFFBB08CA,坡道平面,0,24.76
RPQQMLOJOHLFFBB87CA,坡道機械,0,
RPSNMLNKOHLFFBB77CA,坡道平面,0,
RPXOMLNLOHLFFBB48CA,坡道機械,0,
RPQQMLKMOHLFFBB77CA,坡道平面,0,
RPTOMLLJPHLFFBB77CA,坡道平面,0,
RPQPMLLJPHLFFBB57CA,坡道平面,0,
RPURMLNJOHLFFCB38CA,坡道機械,0,
RPVNMLOJOHLFFCB18CA,坡道平面,0,33.08
RPVNMLOJOHLFFCB18CA,坡道平面,0,33.08
RPXOMLRJOHLFFCB78CA,坡道平面,0,
RPURMLQJOHLFFCB68CA,坡道機械,0,
RPSPMLSJOHLFFCB48CA,坡道機械,0,
RPRPMLOKOHLFFCB08CA,坡道平面,0,
RPRRMLNKOHLFFCB18CA,坡道機械,0,
RPOQMLPKOHLFFCB97CA,坡道平面,0,28.06
RPVNMLPKOHLFFCB38CA,坡道平面,0,
RPVNMLPKOHLFFCB38CA,坡道平面,0,
RPVNMLPKOHLFFCB38CA,坡道平面,0,
RPSPMLRKOHLFFCB48CA,坡道平面,0,29.84
RPSPMLRKOHLFFCB48CA,坡道平面,0,29.84
RPSPMLRKOHLFFCB48CA,坡道平面,0,29.84
RPXNMLNLOHLFFCB48CA,坡道機械,0,
RPORMLRLOHLFFCB38CA,坡道平面,950000,28.06
RPORMLRLOHLFFCB38CA,坡道平面,950000,28.06
RPORMLRLOHLFFCB38CA,坡道平面,1200000,28.06
RPQSMLRLOHLFFCB68CA,坡道平面,950000,28.06
RPQSMLRLOHLFFCB68CA,坡道平面,950000,28.06
RPXTMLRLOHLFFCB86CA,坡道平面,1050000,28.06
RPXTMLRLOHLFFCB86CA,坡道平面,1150000,28.06
RPOOMLLJPHLFFCB37CA,坡道平面,0,
RPOPMLKMOHLFFCB57CA,坡道平面,0,31.42
RPRNMLQJOHLFFAL78CA,坡道平面,0,
RPUNMLSKOHLFFBL86CA,坡道平面,0,
RPWNMLOJOHLFFFL96CA,坡道機械,0,
RPPPMLPKOHLFFGL76CA,坡道機械,350000,7.02
RPQNMLRLOHLFFHL07CA,坡道平面,0,
RPWNMLNKOHLFFIL27CA,其他,0,21.95
RPSNMLNJOHLFFIL76CA,坡道平面,0,
RPOPMLOJOHLFFBB67DA,坡道平面,0,
RPXQMLOJOHLFFBB68DA,坡道平面,0,
RPWNMLSJOHLFFAB58DA,坡道平面,600000,25.05
RPVOMLTLOHLFFCB09DA,坡道平面,1300000,38.06
RPVOMLTLOHLFFCB09DA,坡道平面,1500000,38.06
RPVOMLTLOHLFFCB09DA,坡道平面,1500000,38.06
RPWOMLTLOHLFFCB56DA,坡道平面,1300000,38.06
RPWOMLTLOHLFFCB56DA,坡道平面,1300000,38.06
RPWOMLTLOHLFFCB56DA,坡道平面,1300000,38.06
RPVPMLPKOHLFFGL37CA,坡道平面,0,
RPOOMLKMOHLFFFL78CA,坡道平面,0,
RPPNMLRJOHLFFFL56CA,坡道機械,0,
RPTPMLKMOHLFFCB08CA,坡道平面,1750000,17.30
RPTPMLKMOHLFFCB08CA,坡道平面,1750000,17.30
RPUPMLKMOHLFFCB18CA,坡道平面,1450000,17.30
RPUPMLKMOHLFFCB18CA,坡道平面,1450000,17.30
RPTNMLKMOHLFFCB87CA,坡道平面,1800000,29.03
RPTNMLKMOHLFFCB87CA,坡道平面,1800000,29.03
RPQQMLLJPHLFFCB77CA,坡道平面,0,28.49
RPTQMLLJPHLFFCB08CA,坡道平面,0,26.49
RPWQMLMLOHLFFCB58CA,坡道平面,0,49.00
RPQNMLMLOHLFFCB67CA,坡道平面,0,
RPQOMLQKOHLFFCB08CA,坡道機械,0,
RPVQMLPKOHLFFCB68CA,坡道平面,0,38.01
RPQQMLPKOHLFFCB18CA,坡道平面,0,
RPPRMLRJOHLFFCB28CA,坡道機械,0,
RPSOMLQJOHLFFCB18CA,坡道機械,0,11.59
RPTQMLLLOHLFFBB08CA,坡道平面,1400000,23.59
RPRNMLQKOHLFFBB97CA,坡道平面,0,13.25
RPPNMLTJOHLFFBB97CA,坡道平面,0,
RPSPMLOJOHLFFBB97CA,坡道平面,0,
RPSNMLQJOHLFFBB97CA,坡道平面,0,
RPSOMLQJOHLFFBB08CA,一樓平面,0,
RPTOMLQJOHLFFBB18CA,坡道平面,0,
RPUOMLQJOHLFFBB28CA,坡道機械,0,
RPUOMLRJOHLFFBB38CA,坡道平面,0,
RPUOMLRJOHLFFBB38CA,坡道平面,0,
RPVQMLQJOHLFFBB58CA,坡道平面,0,36.76
RPQNMLSJOHLFFBB97CA,坡道平面,0,33.08
RPRPMLMLOHLFFAB77CA,坡道機械,0,7.94
RPOOMLNLOHLFFAB47CA,坡道平面,0,18.27
RPWNMLOLOHLFFAB28CA,坡道平面,0,39.66
RPPQMLRLOHLFFAB18CA,坡道平面,0,29.84
RPPQMLRLOHLFFAB18CA,坡道平面,0,29.84
RPTNMLNKOHLFFHL86CA,坡道機械,0,
RPSNMLQLOHLFFGL07CA,坡道平面,0,
RPRNMLKMOHLFFGL09CA,坡道平面,1350000,31.91
RPPOMLPJPHLFFGL66CA,坡道平面,0,
RPWPMLPJPHLFFCB68CA,坡道平面,0,
RPVNMLNKOHLFFCL56CA,坡道平面,0,26.47
RPTNMLSLOHLFFCL96CA,坡道平面,0,14.46
RPOOMLNKOHLFFAB37CA,坡道平面,0,
RPWNMLPKOHLFFAB28CA,坡道平面,0,12.95
RPPQMLSLOHLFFAB28CA,坡道平面,1150000,33.09
RPQQMLSLOHLFFAB38CA,坡道平面,0,33.09
RPRQMLLJPHLFFAB67CA,坡道平面,0,21.96
RPXOMLQJPHLFFAB58CA,坡道平面,0,28.57
RPXOMLQJPHLFFAB58CA,坡道機械,0,20.56
RPOQMLQJOHLFFBB87CA,坡道機械,0,
RPPQMLPKOHLFFBB97CA,升降機械,0,
RPRPMLPKOHLFFBB08CA,坡道機械,0,13.23
RPQNMLOLOHLFFBB77CA,坡道平面,0,
RPOPMLOLOHLFFBB77CA,坡道平面,0,
RPSPMLSLOHLFFBB58CA,坡道平面,0,25.36
RPQPMLLLOHLFFBB67CA,坡道平面,0,49.35
RPQPMLLLOHLFFBB67CA,坡道平面,0,49.35
RPPNMLPJPHLFFBB67CA,坡道平面,0,
RPXNMLRJOHLFFCB68CA,坡道平面,0,18.76
RPSPMLRJOHLFFCB38CA,坡道平面,1200000,26.98
RPSPMLRJOHLFFCB38CA,坡道平面,1200000,26.98
RPPNMLTJOHLFFCB08CA,坡道平面,0,23.62
RPSQMLPKOHLFFCB38CA,坡道平面,0,19.83
RPQNMLKKOHLFFCB37CA,坡道平面,0,37.35
RPQNMLKKOHLFFCB37CA,坡道平面,0,37.35
RPRNMLLJPHLFFCB57CA,坡道平面,0,30.74
RPRNMLLJPHLFFCB57CA,坡道平面,0,30.74
RPPNMLTLOHLFFCB28CA,坡道平面,0,
RPXOMLTLOHLFFCB66DA,坡道平面,1200000,38.06
RPXOMLTLOHLFFCB66DA,坡道平面,1200000,38.06
RPXOMLTLOHLFFCB66DA,坡道平面,1500000,38.06
RPOPMLTLOHLFFCB48DA,坡道平面,1400000,38.06
RPOPMLTLOHLFFCB48DA,坡道平面,1100000,38.06
RPOPMLTLOHLFFCB48DA,坡道平面,1100000,38.06
RPPPMLTLOHLFFCB58DA,坡道平面,1300000,38.06
RPPPMLTLOHLFFCB58DA,坡道平面,1100000,33.83
RPQPMLTLOHLFFCB68DA,坡道平面,1200000,38.06
RPQPMLTLOHLFFCB68DA,坡道平面,1300000,33.83
RPRPMLTLOHLFFCB78DA,坡道平面,1300000,38.06
RPRPMLTLOHLFFCB78DA,坡道平面,1000000,33.83
RPSPMLTLOHLFFCB88DA,坡道平面,1300000,38.06
RPSPMLTLOHLFFCB88DA,坡道平面,1200000,33.83
RPTPMLTLOHLFFCB98DA,坡道平面,1200000,38.06
RPTPMLTLOHLFFCB98DA,坡道平面,1500000,38.06
RPUPMLTLOHLFFCB09DA,坡道平面,1100000,38.06
RPUPMLTLOHLFFCB09DA,坡道平面,1400000,38.06
RPVPMLTLOHLFFCB56DA,坡道平面,1100000,38.06
RPVPMLTLOHLFFCB56DA,坡道平面,1300000,33.83
RPWPMLTLOHLFFCB66DA,坡道平面,1100000,38.06
RPWPMLTLOHLFFCB66DA,坡道平面,1000000,33.83
RPXPMLTLOHLFFCB76DA,坡道平面,1500000,38.06
RPXPMLTLOHLFFCB76DA,坡道平面,1200000,38.06
RPOOMLQJOHLFFHL76DA,坡道平面,0,
RPRRMLSJOHLFFBB58DA,坡道平面,0,
RPWOMLOJPHLFFCB48CA,坡道機械,0,
RPSRMLOLOHLFFCB48CA,坡道平面,0,34.72
RPWQMLRKOHLFFCB98CA,坡道機械,0,
RPWOMLRKOHLFFCB78CA,坡道平面,0,
RPQPMLQKOHLFFCB18CA,坡道平面,0,
RPUNMLOKOHLFFCB18CA,坡道平面,0,29.74
RPUNMLOKOHLFFCB18CA,坡道平面,0,29.74
RPUNMLOKOHLFFCB18CA,坡道平面,0,29.74
RPVNMLOKOHLFFCB28CA,坡道平面,0,22.15
RPXOMLOKOHLFFCB58CA,坡道平面,0,31.62
RPXOMLOKOHLFFCB58CA,坡道機械,0,15.81
RPXOMLOKOHLFFCB58CA,坡道機械,0,15.81
RPXOMLOKOHLFFCB58CA,坡道機械,0,15.81
RPOPMLPJPHLFFBB77CA,坡道平面,0,
RPSOMLLLOHLFFBB77CA,坡道機械,0,13.39
RPTNMLSKOHLFFBB38CA,坡道平面,0,24.76
RPQPMLOKOHLFFBB87CA,坡道機械,0,
RPVNMLOKOHLFFBB18CA,坡道平面,0,25.92
RPVNMLSJOHLFFBB48CA,坡道平面,0,
RPVQOLNKOHLFFBB58CA,坡道平面,0,
RPWOMLRJOHLFFBB58CA,坡道平面,0,
RPSOMLRJOHLFFBB18CA,坡道平面,0,19.86
RPSOMLRJOHLFFBB18CA,坡道平面,0,19.86
RPUNMLOJPHLFFAB97CA,坡道平面,0,
RPVNMLOJPHLFFAB08CA,坡道機械,0,6.62
RPSNMLKMOHLFFAB57CA,坡道平面,1350000,33.85
RPWOMLLLOHLFFAB08CA,坡道機械,0,
RPWPMLKMOHLFFAB18CA,坡道機械,0,16.21
RPTQMLKMOHLFFAB97CA,坡道機械,0,16.21
RPUQMLKMOHLFFAB08CA,坡道平面,0,32.41
RPSOMLSJOHLFFAB18CA,坡道機械,0,
RPXNMLSJOHLFFCL17CA,坡道平面,0,
RPSNMLPJPHLFFCB08CA,坡道機械,0,
RPPNMLQKOHLFFAL68CA,一樓平面,0,
RPPNMLLKOHLFFGL78CA,坡道平面,0,30.51
RPOQMLPKOHLFFGL76CA,坡道平面,0,32.15
RPUNMLOKOHLFFHL07CA,升降機械,0,
RPTNMLLLOHLFFHL76CA,坡道平面,0,
RPWNMLLJPHLFFHL96CA,坡道機械,0,
RPQNMLMLOHLFFIL66CA,一樓平面,0,
RPXNMLQJPHLFFHL57CA,坡道平面,0,
RPWOMLPKOHLFFGL37CA,坡道機械,0,19.84
RPTNMLQKOHLFFGL07CA,坡道平面,0,29.00
RPXOMLMLOHLFFAL66CA,坡道機械,0,
RPPOMLQJPHLFFCB97CA,坡道平面,0,
RPQOMLPJPHLFFCB97CA,坡道平面,0,
RPSPMLPJPHLFFCB28CA,坡道機械,0,13.20
RPQOMLLKPHLFFCB67CA,坡道平面,0,
RPQOMLNKOHLFFCL78CA,坡道平面,0,
RPPOMLLJPHLFFCL48CA,坡道平面,0,
RPSNMLLJPHLFFFL98CA,坡道機械,0,
RPPNMLNLOHLFFFL98CA,坡道機械,0,15.82
RPPNMLRLOHLFFFL76CA,坡道機械,0,15.82
RPUNMLRLOHLFFFL27CA,升降機械,0,
RPXOMLRKOHLFFAB68CA,坡道機械,0,
RPPNMLSKOHLFFAB87CA,坡道平面,0,34.65
RPPNMLSKOHLFFAB87CA,坡道平面,0,37.54
RPRPMLPKOHLFFAB97CA,坡道平面,0,26.35
RPTNMLOKOHLFFAB87CA,坡道平面,0,
RPWQMLKMOHLFFAB28CA,坡道機械,0,16.21
RPSNMLLJPHLFFAB47CA,坡道機械,0,16.21
RPTNMLLJPHLFFAB57CA,坡道平面,0,32.41
RPWNMLLJPHLFFAB87CA,坡道機械,0,16.21
RPXNMLLJPHLFFAB97CA,坡道平面,0,32.41
RPOOMLLJPHLFFAB17CA,坡道平面,0,32.41
RPTNMLOLOHLFFAB97CA,坡道平面,0,23.29
RPTNMLOLOHLFFAB97CA,坡道平面,0,22.86
RPRPMLLLOHLFFAB67CA,坡道平面,0,
RPOOMLMLOHLFFAB37CA,坡道機械,0,
RPOPMLLJPHLFFAB27CA,坡道平面,0,32.41
RPQPMLLJPHLFFAB47CA,坡道平面,0,32.41
RPTPMLLJPHLFFAB77CA,坡道平面,0,32.41
RPQPMLRJPHLFFAB08CA,坡道平面,0,
RPTNMLQKOHLFFBB18CA,升降機械,0,
RPWOMLRKOHLFFBB68CA,坡道機械,0,
RPQNMLMLOHLFFBB57CA,坡道平面,0,33.24
RPQNMLMLOHLFFBB57CA,坡道平面,0,33.24
RPWPMLTLOHLFFBB09CA,坡道機械,0,
RPXPMLKLOHLFFBB28CA,坡道機械,0,
RPXQMLRJPHLFFBB98CA,坡道平面,0,
RPWPMLNKOHLFFCB48CA,坡道平面,0,
RPOOMLOKOHLFFCB67CA,坡道機械,0,
RPTOMLOKOHLFFCB18CA,坡道平面,0,39.36
RPTRMLNKOHLFFCB38CA,升降平面,0,
RPPNMLRKOHLFFCB97CA,坡道平面,0,28.00
RPPNMLRKOHLFFCB97CA,坡道平面,0,28.00
RPRSMLPKOHLFFCB48CA,坡道平面,0,
RPRSMLPKOHLFFCB48CA,坡道機械,0,
RPRSMLPKOHLFFCB48CA,坡道機械,0,
RPVPMLOJPHLFFCB48CA,坡道平面,0,23.48
RPRQMLKMOHLFFCB97CA,坡道機械,0,
RPPNMLRJPHLFFIL96CA,坡道平面,0,
RPSNMLPKOHLFFBB08DA,坡道平面,0,
RPXPMLMLOHLFFCB58CA,坡道平面,0,
RPVQMLLJPHLFFCB28CA,坡道平面,1600000,29.92
RPTNMLLLOHLFFCB87CA,坡道平面,0,23.16
RPTNMLLLOHLFFCB87CA,坡道平面,0,23.16
RPRNMLRLOHLFFCB28CA,坡道機械,0,
RPWWMLRLOHLFFCB07CA,坡道平面,0,19.56
RPWWMLRLOHLFFCB07CA,坡道平面,0,19.56
RPPNNLRLOHLFFCB18CA,坡道平面,0,
RPSSMLPKOHLFFCB58CA,坡道平面,0,26.42
RPRRMLPKOHLFFCB38CA,升降平面,0,
RPXQMLRKOHLFFCB09CA,坡道機械,0,13.20
RPSOMLOKOHLFFCB08CA,坡道平面,1450000,26.98
RPSOMLOKOHLFFCB08CA,坡道平面,1450000,26.98
RPXNMLPKOHLFFCB58CA,坡道平面,0,
RPUNMLPKOHLFFCB28CA,坡道平面,0,
RPUNMLPKOHLFFCB28CA,坡道平面,0,
RPWNMLMKPHLFFBB18CA,坡道機械,0,
RPXOMLMKPHLFFBB38CA,坡道平面,0,
RPXOMLMKPHLFFBB38CA,坡道平面,0,
RPROMLLLOHLFFBB67CA,坡道機械,0,15.48
RPSNMLKLOHLFFBB57CA,坡道平面,0,
RPSNMLOKOHLFFBB87CA,坡道平面,0,
RPWNMLOKOHLFFBB28CA,坡道機械,0,
RPXNMLOKOHLFFBB38CA,坡道平面,0,
RPPOMLOKOHLFFBB67CA,坡道機械,0,
RPSOMLOKOHLFFBB97CA,坡道平面,0,22.49
RPWOMLOKOHLFFBB38CA,升降機械,0,
RPSNMLLKPHLFFAB57CA,坡道機械,0,20.79
RPSNMLLKPHLFFAB57CA,坡道機械,0,20.79
RPQOMLLLOHLFFAB47CA,坡道平面,0,
RPQOMLLLOHLFFAB47CA,坡道平面,0,
RPOPMLRLOHLFFAB97CA,坡道平面,0,
RPPOMLLJPHLFFAB27CA,坡道平面,1100000,33.06
RPVNMLOKOHLFFAB08CA,坡道平面,0,
RPPNMLQKOHLFFAB67CA,坡道平面,0,
RPRNMLRKOHLFFAB97CA,坡道平面,0,
RPRNMLRKOHLFFAB97CA,坡道平面,0,
RPQNMLOJPHLFFFL09CA,坡道機械,0,
RPQNMLMKPHLFFCB67CA,坡道平面,0,28.01
