鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮自由路121~150號,148.0,商,,,1050601,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830909,148.0,0,0,0,無,無,無,20000,135,,0.0,0,,RPRNMLMJOHLFFCN98CC
伸港鄉,房地(土地+建物),彰化縣伸港鄉工東一路1~30號,2499.08,,工業區,丁種建築用地,1050513,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,0840421,1479.04,0,0,0,無,無,無,195000,,,0.0,0,"租賃期間為5年又10天,本建物另有增建或未登記建物約148.77平方公尺(約45坪),共承租總面積為1627.81平方公尺(約492.41坪)。",RPQNMLSJOHLFFBN76CC
員林鎮,房地(土地+建物),彰化縣員林市中山路一段541~570號,258.0,住,,,1050607,土地2建物1車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,1020418,159.94,0,0,0,無,無,無,42000,263,,0.0,0,,RPVNMLNKOHLFFDN07CC
彰化市,房地(土地+建物),彰化縣彰化巿中正路一段451~480號,120.0,商,,,1050408,土地2建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0610131,60.0,0,0,0,無,無,無,35000,583,,0.0,0,,RPSNMLPKOHLFFAN76DC
