鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路二段1~30號,29.69,住,,,1050601,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960430,161.47,3,2,1,有,有,有,34000,211,坡道平面,36.15,0,,RPSNMLMJOHLFFEF48CC
林口區,房地(土地+建物)+車位,新北市林口區南勢街211~240號,31.57,住,,,1050530,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971111,137.48,2,2,1,有,有,無,16500,120,坡道平面,35.08,0,,RPTOMLMJOHLFFBF38CC
蘆洲區,建物,新北市蘆洲區光華路150巷31~60號,0.0,住,,,1050401,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0971118,84.03,0,0,0,無,無,無,37462,446,,0.0,0,,RPXOMLMJOHLFFGF86EC
蘆洲區,建物,新北市蘆洲區光明路121~150號,0.0,住,,,1050518,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970130,216.24,0,0,0,無,有,無,35000,162,,0.0,0,本租金包含二代健保.租賃稅.社區大樓管理費,RPUOMLNJOHLFFGF66EC
中和區,建物,新北市中和區中山路二段571~600號,0.0,住,,,1050506,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840523,109.41,1,2,2,有,無,無,22500,206,,0.0,0,,RPUOMLNJOHLFFHF76EC
板橋區,房地(土地+建物),新北市板橋區新生街1~30號,13.2,住,,,1050513,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860127,68.24,0,0,0,無,無,無,28000,410,,0.0,0,,RPVOMLNJOHLFFAF68DC
新莊區,房地(土地+建物),新北市新莊區化成路630巷19弄1~30號,253.94,工,,,1050510,土地1建物1車位0,一層,2,工廠,工業用,見其他登記事項,0650215,178.56,0,0,0,無,無,無,30000,,,0.0,0,,RPTOMLNJOHLFFBF48CC
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路二段391~420號,26.45,住,,,1050510,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030807,168.49,3,2,2,有,有,有,28380,168,坡道平面,30.36,0,租金含稅及二代健保補充費。,RPUNMLNJOHLFFEF78CC
淡水區,房地(土地+建物),新北市淡水區新市一路三段101巷17弄1~30號,14.31,住,,,1050520,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990128,79.06,2,2,1,有,無,有,14000,177,,0.0,0,,RPUPMLNJOHLFFEF98CC
新店區,房地(土地+建物),新北市新店區中央路151~180號,6.14,住,,,1050519,土地1建物1車位0,十一層,20,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011114,40.64,0,0,0,無,有,有,15000,369,,0.0,0,,RPTOMLNJOHLFFCF58CC
永和區,建物,新北市永和區文化路126巷15弄1~30號,24.45,住,,,1050601,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720621,79.6,3,2,1,有,無,無,17000,214,,0.0,0,,RPVNMLNJOHLFFHF56CC
中和區,建物,新北市中和區錦和路1~30號,0.0,工,,,1050603,土地0建物1車位0,四層,5,廠辦,工業用,鋼筋混凝土造,0830429,291.1,0,0,0,無,無,無,51000,175,,0.0,0,,RPVOMLNJOHLFFHF66CC
中和區,建物,新北市中和區忠孝街31~60號,0.0,住,,,1050528,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021023,72.25,2,2,1,有,有,有,24000,332,,0.0,0,,RPWTMLNJOHLFFHF27CC
汐止區,房地(土地+建物),新北市汐止區新臺五路一段151~180號,0.0,商,,,1050602,土地1建物1車位0,八層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890523,129.93,3,2,2,有,有,無,20500,158,,0.0,0,,RPVNMLNJOHLFFDF78CC
汐止區,建物,新北市汐止區樟樹二路339巷1~30號,0.0,住,,,1050505,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861202,44.38,0,0,0,無,有,有,9500,214,,0.0,0,,RPOOMLNJOHLFFDF18CC
三重區,建物,新北市三重區大智街91~120號,0.0,住,,,1050512,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820702,128.17,4,2,2,有,有,無,19000,148,,0.0,0,,RPOPMLNJOHLFFGF58CC
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區信義路222巷31~60號,24.1,住,,,1050511,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040917,128.24,3,2,1,有,有,有,33000,257,坡道平面,18.52,0,,RPWNMLOJOHLFFGF66CC
