編號,車位類別,車位價格,車位面積平方公尺
RPWOMLLLOHLFFCD48CA,坡道平面,950000,42.99
RPWOMLLLOHLFFCD48CA,坡道平面,1050000,42.99
RPQOMLRLOHLFFHR77CA,坡道平面,0,
RPPOMLKLOHLFFHR96CA,坡道平面,0,
RPROMLSJOHLFFHR77CA,坡道機械,0,
RPPNMLMLOHLFFHR07CA,坡道機械,0,
RPTNMLKMNHLFFAD87DA,坡道平面,0,
RPTNMLKMNHLFFAD87DA,坡道平面,0,
RPRNMLMJOHLFFFR86CA,坡道平面,0,
RPXOMLLLOHLFFCD58CA,坡道平面,1000000,42.99
RPOPMLLLOHLFFCD77CA,坡道平面,900000,40.92
RPOPMLLLOHLFFCD77CA,坡道平面,950000,42.99
RPWNMLNLOHLFFCD58CA,坡道平面,950000,42.99
RPXNMLNLOHLFFCD68CA,坡道平面,1050000,42.99
RPXNMLNLOHLFFCD68CA,坡道平面,1000000,40.92
RPOOMLNLOHLFFCD87CA,坡道平面,1050000,42.99
RPXNMLLLOHLFFCD48CA,升降機械,0,
RPVOMLOKOHLFFCD58CA,坡道平面,0,
RPRNMLKKOHLFFCD67CA,坡道平面,0,
RPTOMLKMNHLFFCD08CA,一樓平面,0,
RPVSMLNKOHLFFAD68CA,坡道機械,0,
RPOOMLMJOHLFFAD37CA,坡道機械,0,
RPQNMLOJOHLFFAD67CA,坡道平面,0,
RPQOMLLMNHLFFAD67CA,坡道平面,0,
RPXOMLLMNHLFFAD38CA,坡道平面,0,
RPQNMLRJOHLFFAD97CA,坡道平面,1000000,30.14
SPQNMLRJOHLFFAD08CA,坡道平面,1000000,30.14
RPOOMLRKOHLFFCD18CA,升降機械,0,
RPVOMLRKOHLFFHR18CA,坡道平面,0,
RPSNMLRJOHLFFFR57DA,坡道平面,0,
RPSOMLRKOHLFFHR87CA,坡道平面,0,
RPTOMLRKOHLFFHR97CA,坡道平面,0,
RPUOMLRKOHLFFHR08CA,坡道平面,0,
RPVNMLRJOHLFFHR97CA,坡道平面,0,
RPWNMLRJOHLFFHR08CA,坡道平面,0,
RPXNMLRJOHLFFHR18CA,坡道平面,0,
RPSNMLTLOHLFFER77CA,坡道平面,0,
RPSNMLLLOHLFFCD97CA,升降機械,700000,10.53
RPSOMLSJOHLFFCD58CA,坡道機械,0,
RPUOMLRKOHLFFAD58CA,坡道平面,0,
RPSNMLTLOHLFFAD58CA,坡道平面,1000000,30.14
RPQNMLOKOHLFFAD77CA,坡道平面,1000000,30.14
RPWNMLOKOHLFFAD38CA,坡道平面,950000,30.14
RPQRMLLMNHLFFAD97CA,坡道平面,0,
RPVNMLMJOHLFFAD97CA,坡道平面,0,
