鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
三民區,房地(土地+建物),高雄市三民區大享路1~30號,67.0,住,,,1050421,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0760513,45.21,1,1,1,有,無,有,6000,133,,0.0,0,,RPWNMLSKNHLFFDE66CC
楠梓區,房地(土地+建物),高雄市楠梓區土庫一路1~30號,178.29,住,,,1050501,土地1建物1車位0,一層,5,店面(店鋪),住商用,見使用執照,0930525,120.12,1,2,2,有,無,無,19000,158,,0.0,0,,RPPOMLSKNHLFFEE78CC
左營區,房地(土地+建物),高雄市左營區立文路91~120號,15.37,商,,,1050501,土地2建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030327,114.8,2,2,1,有,有,有,23000,200,,0.0,0,,RPROMLSKNHLFFEE98CC
左營區,房地(土地+建物),高雄市左營區重治路1~30號,78.0,住,,,1050501,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土造,0700501,173.09,0,3,3,有,無,無,13000,75,,0.0,0,,RPPPMLSKNHLFFEE88CC
苓雅區,建物,高雄市苓雅區自強三路1~30號,0.0,住,,,1050512,土地0建物1車位0,全,3,透天厝,,加強磚造,0551205,166.62,0,0,0,無,無,無,10000,60,,0.0,0,租賃層次:2+3樓,RPQOMLSKNHLFFBE58CC
苓雅區,房地(土地+建物),高雄市苓雅區三多二路301~330號,70.0,商,,,1050508,土地1建物1車位0,全,3,透天厝,,加強磚造,0630629,163.26,2,1,3,有,無,無,40000,245,,0.0,0,,RPROMLSKNHLFFBE68CC
苓雅區,建物,高雄市苓雅區中華四路121~150號,25.17,商,,,1050503,土地0建物1車位0,一層,12,辦公商業大樓,,鋼筋混凝土造,0700507,184.04,0,0,1,有,無,有,25000,136,,0.0,0,,RPTOMLSKNHLFFBE88CC
前金區,房地(土地+建物),高雄市前金區青年二路151~180號,6.53,商,,,1050501,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040325,77.62,2,2,1,有,有,有,33600,433,,0.0,0,,RPQPMLSKNHLFFAE58CC
鼓山區,房地(土地+建物),高雄市鼓山區青海路271~300號,108.04,住,,,1050516,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0930427,64.45,0,0,0,無,無,無,38000,590,,0.0,0,,RPTPMLSKNHLFFAE88CC
鼓山區,土地,龍中段151~180地號,1250.08,住,,,1050518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,150000,120,,0.0,0,租賃範圍為第2層，建物未保存登記。,RPVPMLSKNHLFFAE09CC
鳳山區,房地(土地+建物),高雄市鳳山區光復路一段121~150號,67.13,住,,,1050506,土地1建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,0930626,213.78,5,2,4,有,無,無,27000,126,,0.0,0,,RPOPMLSKNHLFFGE98CC
鳳山區,房地(土地+建物),高雄市鳳山區建國路三段331~360號,77.0,住,,,1050513,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0770315,224.86,8,3,4,有,無,有,32000,142,,0.0,0,,RPQPMLSKNHLFFGE56CC
小港區,房地(土地+建物),高雄市小港區崇文路1~30號,51.97,住,,,1050512,土地3建物1車位0,一層,5,店面(店鋪),,鋼筋混凝土造,0721214,179.57,2,2,3,有,無,無,31000,173,,0.0,0,原租賃契約於104年2月終止,租金:第1、2年，每壹個月租金新台幣參萬壹仟元正,含稅　　　　　　　　　　　　第3、4、5年，每壹個月租金新台幣參萬參仟伍佰元正,RPOOMLSKNHLFFCE48CC
前鎮區,房地(土地+建物),高雄市前鎮區鄭和路31~60號,6.96,住,,,1050515,土地1建物1車位0,一層,1,店面(店鋪),住商用,鋼筋混凝土造,0860527,130.1,0,0,0,無,無,無,30000,231,,0.0,0,,RPROMLSKNHLFFCE78CC
前鎮區,房地(土地+建物),高雄市前鎮區育群街239巷1~30號,47.0,住,,,1050426,土地1建物1車位0,全,4,透天厝,住家用,加強磚造,0600628,35.47,1,1,1,有,無,有,7000,197,,0.0,0,,RPOPMLSKNHLFFCE58CC
小港區,房地(土地+建物),高雄市小港區沿海一路241~270號,32.8,商,,,1050510,土地1建物1車位0,見其它登記事項,15,店面(店鋪),住商用,鋼筋混凝土造,0791228,235.2,3,2,3,有,有,無,18000,77,,0.0,0,建物層數1+2+3+地下室,RPOQMLSKNHLFFCE68CC
前鎮區,房地(土地+建物),高雄市前鎮區鄭和路31~60號,11.44,住,,,1050518,土地1建物1車位0,一層,27,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0860527,200.06,0,0,0,無,無,無,43200,216,,0.0,0,1+夾,RPXNMLTKNHLFFCE76CC
鳳山區,建物,高雄市鳳山區國隆路33巷1~30號,0.0,,,,1050517,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710430,73.01,3,2,2,有,無,有,8500,116,,0.0,0,,RPXNMLTKNHLFFGE17CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路451~480號,671.99,商,,,1050428,土地1建物1車位2,全,5,透天厝,見其它登記事項,見其它登記事項,1040730,556.56,0,0,0,無,無,無,126000,220,升降機械,11.02,0,另租車位,RPQNMLTKNHLFFAE48CC
